|    0 |    1 |    2 |    3 |    4 |    5 |
|  335 |  140 |  333 |  135 |  330 |  136 |
|  338 |  141 |  337 |  136 |  332 |  137 |
|  329 |  137 |  326 |  133 |  325 |  134 |
|  327 |  137 |  326 |  132 |  321 |  133 |
|  330 |  137 |  328 |  133 |  323 |  134 |
|  329 |  137 |  328 |  133 |  324 |  134 |
|  329 |  138 |  330 |  134 |  326 |  135 |
|  329 |  138 |  328 |  133 |  325 |  135 |
|  330 |  138 |  329 |  134 |  325 |  135 |
|  330 |  138 |  330 |  134 |  327 |  135 |
|  326 |  137 |  326 |  132 |  322 |  133 |
|  330 |  138 |  330 |  134 |  325 |  134 |
|  325 |  137 |  327 |  132 |  321 |  134 |
|  325 |  137 |  325 |  132 |  322 |  133 |
|  326 |  137 |  325 |  132 |  322 |  133 |
|  328 |  136 |  325 |  133 |  323 |  135 |
|  327 |  137 |  326 |  133 |  323 |  134 |
|  331 |  139 |  331 |  135 |  328 |  136 |
|  326 |  137 |  327 |  132 |  322 |  134 |
|  328 |  137 |  327 |  133 |  324 |  134 |
|  324 |  136 |  323 |  131 |  320 |  133 |
|  327 |  137 |  329 |  132 |  321 |  134 |
|  325 |  137 |  325 |  132 |  322 |  134 |
|  327 |  137 |  326 |  133 |  323 |  134 |
|  328 |  137 |  327 |  133 |  323 |  134 |
|  329 |  138 |  328 |  134 |  325 |  135 |
|  324 |  136 |  325 |  133 |  323 |  134 |
|  330 |  138 |  329 |  134 |  325 |  135 |
|  325 |  136 |  325 |  132 |  322 |  134 |
|  326 |  136 |  325 |  132 |  321 |  133 |
|  325 |  136 |  326 |  133 |  322 |  134 |
|  329 |  138 |  329 |  134 |  325 |  135 |
|  325 |  136 |  326 |  133 |  323 |  134 |
|  324 |  136 |  324 |  132 |  321 |  133 |
|  321 |  135 |  322 |  131 |  319 |  133 |
|  324 |  136 |  325 |  132 |  322 |  134 |
|  326 |  137 |  327 |  133 |  323 |  134 |
|  327 |  137 |  327 |  133 |  323 |  134 |
|  322 |  135 |  323 |  131 |  319 |  132 |
|  320 |  134 |  321 |  131 |  318 |  132 |
|  321 |  135 |  321 |  131 |  318 |  132 |
|  328 |  137 |  327 |  133 |  324 |  134 |
|  324 |  136 |  324 |  132 |  321 |  133 |
|  324 |  136 |  324 |  132 |  322 |  133 |
|  322 |  135 |  322 |  131 |  320 |  133 |
|  327 |  137 |  327 |  133 |  325 |  135 |
|  321 |  135 |  320 |  131 |  318 |  133 |
|  322 |  135 |  322 |  131 |  319 |  133 |
|  322 |  135 |  323 |  132 |  320 |  133 |
|  322 |  135 |  320 |  131 |  319 |  133 |
|  322 |  135 |  322 |  131 |  319 |  133 |
|  323 |  136 |  322 |  131 |  319 |  133 |
|  324 |  137 |  324 |  132 |  319 |  133 |
|  321 |  135 |  322 |  131 |  317 |  132 |
|  321 |  135 |  322 |  131 |  317 |  132 |
|  320 |  134 |  320 |  130 |  317 |  132 |
|  322 |  135 |  323 |  131 |  318 |  132 |
|  324 |  136 |  326 |  132 |  322 |  134 |
|  321 |  135 |  323 |  131 |  319 |  133 |
|  325 |  136 |  325 |  132 |  322 |  134 |
|  323 |  136 |  324 |  131 |  320 |  133 |
|  323 |  135 |  323 |  131 |  318 |  132 |
|  323 |  135 |  323 |  131 |  320 |  133 |
|  319 |  134 |  319 |  130 |  316 |  132 |
|  323 |  136 |  323 |  131 |  320 |  133 |
|  324 |  136 |  324 |  132 |  321 |  133 |
|  323 |  136 |  323 |  132 |  321 |  133 |
|  326 |  137 |  327 |  133 |  323 |  134 |
|  322 |  135 |  323 |  131 |  320 |  133 |
|  322 |  135 |  323 |  132 |  320 |  133 |
|  328 |  137 |  327 |  133 |  324 |  134 |
|  328 |  137 |  327 |  133 |  326 |  134 |
|  331 |  138 |  329 |  134 |  326 |  134 |
|  332 |  139 |  332 |  135 |  328 |  135 |
|  329 |  138 |  331 |  133 |  325 |  134 |
|  328 |  137 |  327 |  133 |  324 |  134 |
|  328 |  137 |  328 |  133 |  324 |  134 |
|  326 |  137 |  326 |  133 |  323 |  133 |
|  324 |  136 |  324 |  132 |  321 |  133 |
|  324 |  136 |  324 |  132 |  322 |  133 |
|  326 |  137 |  325 |  132 |  322 |  133 |
|  326 |  137 |  326 |  133 |  323 |  134 |
|  327 |  137 |  326 |  133 |  323 |  133 |
|  325 |  136 |  324 |  132 |  322 |  133 |
|  326 |  136 |  325 |  132 |  322 |  133 |
|  327 |  137 |  326 |  133 |  324 |  134 |
|  330 |  138 |  330 |  134 |  327 |  135 |
|  334 |  139 |  333 |  135 |  330 |  136 |
|  329 |  137 |  327 |  133 |  323 |  134 |
|  329 |  138 |  327 |  133 |  325 |  134 |
|  330 |  137 |  327 |  133 |  327 |  134 |
|  330 |  138 |  330 |  134 |  327 |  135 |
|  330 |  138 |  328 |  133 |  326 |  134 |
|  325 |  136 |  328 |  132 |  322 |  134 |
|  323 |  135 |  323 |  131 |  320 |  133 |
|  324 |  136 |  323 |  131 |  320 |  132 |
|  325 |  134 |  321 |  131 |  320 |  132 |
|  323 |  136 |  324 |  132 |  321 |  133 |
|  324 |  136 |  324 |  132 |  321 |  133 |
|  324 |  136 |  324 |  132 |  321 |  133 |
|  323 |  135 |  322 |  131 |  319 |  132 |
|  319 |  134 |  320 |  130 |  317 |  132 |
|  319 |  134 |  320 |  130 |  317 |  132 |
|  319 |  134 |  320 |  130 |  317 |  132 |
|  321 |  135 |  321 |  131 |  318 |  132 |
|  323 |  135 |  323 |  131 |  320 |  133 |
|  324 |  136 |  324 |  132 |  321 |  133 |
|  322 |  135 |  322 |  131 |  319 |  132 |
|  323 |  135 |  322 |  131 |  319 |  132 |
|  320 |  134 |  320 |  130 |  316 |  132 |
|  319 |  134 |  320 |  130 |  317 |  132 |
|  321 |  135 |  322 |  131 |  319 |  132 |
|  320 |  134 |  320 |  130 |  318 |  132 |
|  326 |  136 |  325 |  132 |  322 |  133 |
|  323 |  135 |  323 |  132 |  321 |  133 |
|  324 |  136 |  324 |  131 |  322 |  134 |
|  328 |  137 |  327 |  133 |  325 |  134 |
|  321 |  135 |  320 |  130 |  317 |  132 |
|  319 |  136 |  320 |  130 |  317 |  132 |
|  318 |  133 |  318 |  129 |  314 |  130 |
|  319 |  134 |  319 |  130 |  316 |  132 |
|  319 |  134 |  320 |  130 |  317 |  132 |
|  322 |  135 |  322 |  131 |  318 |  132 |
|  322 |  135 |  322 |  131 |  318 |  132 |
|  324 |  136 |  324 |  132 |  321 |  133 |
|  325 |  136 |  325 |  132 |  320 |  132 |
|  327 |  137 |  325 |  133 |  324 |  134 |
|  328 |  137 |  327 |  133 |  324 |  134 |
|  332 |  139 |  331 |  134 |  328 |  135 |
|  326 |  137 |  327 |  133 |  324 |  134 |
|  329 |  138 |  327 |  133 |  324 |  134 |
|  328 |  137 |  328 |  133 |  324 |  134 |
|  326 |  137 |  326 |  132 |  322 |  133 |
|  326 |  137 |  327 |  133 |  323 |  134 |
|  323 |  136 |  324 |  132 |  320 |  133 |
|  326 |  137 |  327 |  133 |  323 |  134 |
|  325 |  137 |  327 |  133 |  323 |  134 |
